location	variety	rep1	rep2	rep3
11	vareity1	23	32	32
11	vareity2	24	33	33
11	vareity3	25	34	34
11	vareity4	26	35	35
11	vareity5	27	36	36
22	vareity1	28	37	37
22	vareity2	29	38	38
22	vareity3	30	39	39
22	vareity4	31	40	40
22	vareity5	32	41	41
33	vareity1	33	42	42
33	vareity2	34	43	43
33	vareity3	35	44	44
33	vareity4	36	45	45
33	vareity5	37	46	46
44	vareity1	38	47	47
44	vareity2	39	48	48
44	vareity3	40	49	49
44	vareity4	41	50	50
44	vareity5	42	51	51
55	vareity1	43	52	52
55	vareity2	44	53	53
55	vareity3	45	54	54
55	vareity4	46	55	55
55	vareity5	47	56	56
